id,answer
1,отличное фото. Это ты в детстве?
2,"не знал, что ты такой (o_o )"
3,"мог и получше прислать, вообще-то (Т-Т)"
4,а может тебя забанить?
5,"блин, а это и мне самому нравится (^_^)"
6,сколько по времени искал эту картинку?
7,Я ЗАПРЕЩАЮ ВАМ ПОСТИТЬ ПОДОБНОЕ
8,<3
9,"мем хороший, добавил в копилку хороших мемов //\\"
10,"мне кажется, нам нужно поговорить наедине..."
11,"превосходный мем, отличная шутка"
12,"дай ссылку на источник, хочу посмотреть больше такого"
13,весьма ценный экземпляр. Образец 1783 года?
14,"кто-то должен работать, а кидает подобное..."
15,"мне нравится, скинешь ещё?"
